uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
spotify:track:2fWSwWmKRuyioqIzOzuQGo,0.596,0.947,9,-4.514,1,0.218,0.0252,0,0.888,0.555,143.991,aggressive
spotify:track:4EcF55fGcfwbZhGM7K1yLA,0.855,0.712,1,-6.17,1,0.161,0.0903,0,0.0873,0.557,92.486,aggressive
spotify:track:7Kho8NahTcrqnCK5IZGwJb,0.674,0.67,1,-6.36,1,0.0449,0.00253,0.0119,0.35,0.237,95.413,aggressive
spotify:track:0LWkaEyQRkF0XAms8Bg1fC,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,aggressive
spotify:track:3vTweVhyRgJIjthsLnynQs,0.612,0.889,9,-5.793,0,0.0431,0.0166,0,0.469,0.442,130.07,aggressive
spotify:track:4IXiFMhtXEbSEG8UoAeTwD,0.651,0.741,4,-5.067,0,0.0408,0.00293,1.20E-05,0.217,0.386,168.02,aggressive
spotify:track:1pLQoF3VeG6KwNJRys3eq3,0.767,0.864,10,-1.847,0,0.133,0.0116,0,0.0957,0.747,85.475,aggressive
spotify:track:33ILQ2BXT9lqpq2AEFi0ZG,0.345,0.405,1,-4.934,0,0.0592,0.475,1.03E-05,0.0893,0.163,159.359,aggressive
spotify:track:2SxaA6dhE2lEP1faOFPCu8,0.827,0.854,2,-3.508,1,0.133,0.247,0,0.377,0.462,105.1,aggressive
spotify:track:0jqK7sGTLsHPkQrrcrGuKD,0.431,0.95,7,-4.918,1,0.26,0.00105,3.63E-05,0.272,0.56,191.936,aggressive
spotify:track:7ycK2uijskzxp4cGpGNoCi,0.572,0.984,10,-3.847,0,0.0626,0.00052,2.48E-06,0.044,0.524,104.345,aggressive
spotify:track:4lUHxbFilSwlkl52me8x1W,0.391,0.899,1,-4.105,1,0.0491,0.000811,0,0.313,0.539,175.937,aggressive
spotify:track:2ZICF8SFI5tHttaLJKMY1X,0.509,0.93,0,-2.689,0,0.0474,0.00137,0,0.152,0.783,154.946,aggressive
spotify:track:6l78mUZ86r0NrfRgni0LuM,0.371,0.963,7,-2.85,0,0.125,0.00319,0,0.448,0.371,108.724,aggressive
spotify:track:3jUTjCISntIUFL8jnAjzgc,0.71,0.811,3,-4.079,1,0.0431,0.00105,2.08E-06,0.0677,0.914,123.048,aggressive
spotify:track:0V5lmry5Citfw2drBNpEMy,0.536,0.951,5,-4.126,1,0.0498,0.00058,0.00165,0.14,0.491,99.116,aggressive
spotify:track:28Fn2CkqbzXYC5PSkh0k91,0.432,0.551,6,-7.922,0,0.326,0.000705,0.824,0.0674,0.526,189.698,aggressive
spotify:track:4VZH6OfxPy1nNE7KbtVKyK,0.729,0.928,6,-4.279,1,0.0515,0.282,0.00147,0.12,0.322,109.996,aggressive
spotify:track:5O9Dz0h08LuBi0aVvDcylh,0.483,0.941,2,-3.598,0,0.0575,0.000526,3.50E-06,0.31,0.503,156.033,aggressive
spotify:track:3mSZz9k6TzRpin74YEipgV,0.523,0.981,1,-3.865,1,0.124,0.000593,3.66E-06,0.411,0.449,104.471,aggressive
spotify:track:1AEYT6VxrxXPMoQUxsY0E4,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78E-06,0.189,0.534,184.981,aggressive
spotify:track:6gPd6brcBXlbGdy1obe234,0.306,0.873,0,-3.668,0,0.0567,0.00105,0,0.52,0.452,198.387,aggressive
spotify:track:6Lah64e21cUytn0QXfuOoF,0.402,0.983,1,-3.816,0,0.0721,7.29E-05,0,0.294,0.363,103.096,aggressive
